certificateOfSale,parcel,saleDate
2022-C-000482,CERTIFIED,05/18/2023
2022-C-000483,CERTIFIED,05/18/2023
2022-C-000484,CERTIFIED,05/18/2023
2022-C-000485,CERTIFIED,05/18/2023
2022-C-000486,CERTIFIED,05/18/2023
2022-C-000487,CERTIFIED,05/18/2023
2022-C-000488,CERTIFIED,05/18/2023
2022-C-000489,CERTIFIED,05/18/2023
2022-C-000490,CERTIFIED,05/18/2023
2022-C-000491,CERTIFIED,05/18/2023
2022-C-000492,CERTIFIED,05/18/2023
2022-C-000493,CERTIFIED,05/18/2023
2022-C-000494,CERTIFIED,05/18/2023
2022-C-000495,CERTIFIED,05/18/2023
2022-C-000496,CERTIFIED,05/18/2023
2022-C-000497,CERTIFIED,05/18/2023
2022-C-000498,CERTIFIED,05/18/2023
2022-C-000499,CERTIFIED,05/18/2023
2022-C-000500,CERTIFIED,05/18/2023
2022-C-000501,CERTIFIED,05/18/2023
2022-C-000502,CERTIFIED,05/18/2023
2022-C-000503,CERTIFIED,05/18/2023
2022-C-000504,CERTIFIED,05/18/2023
2022-C-000505,CERTIFIED,05/18/2023
2022-C-000506,CERTIFIED,05/18/2023
2022-C-000507,CERTIFIED,05/18/2023
2022-C-000508,CERTIFIED,05/18/2023
2022-C-000509,CERTIFIED,05/18/2023
2022-C-000510,CERTIFIED,05/18/2023
2022-C-000511,CERTIFIED,05/18/2023
2022-C-000512,CERTIFIED,05/18/2023
2022-C-000513,CERTIFIED,05/18/2023
2022-C-000514,CERTIFIED,05/18/2023
2022-C-000515,CERTIFIED,05/18/2023
2022-C-000516,CERTIFIED,05/18/2023
2022-C-000517,CERTIFIED,05/18/2023
2022-C-000518,CERTIFIED,05/18/2023
2022-C-000519,CERTIFIED,05/18/2023
2022-C-000520,CERTIFIED,05/18/2023
2022-C-000521,CERTIFIED,05/18/2023
2022-C-000522,CERTIFIED,05/18/2023
2022-C-000523,CERTIFIED,05/18/2023
2022-C-000524,CERTIFIED,05/18/2023
2022-C-000525,CERTIFIED,05/18/2023
2022-C-000526,CERTIFIED,05/18/2023
2022-C-000527,CERTIFIED,05/18/2023
2022-C-000528,CERTIFIED,05/18/2023
2022-C-000529,CERTIFIED,05/18/2023
2022-C-000530,CERTIFIED,05/18/2023
2022-C-000531,CERTIFIED,05/18/2023
2022-C-000532,CERTIFIED,05/18/2023
2022-C-000533,CERTIFIED,05/18/2023
2022-C-000534,CERTIFIED,05/18/2023
2022-C-000535,CERTIFIED,05/18/2023
2022-C-000536,CERTIFIED,05/18/2023
2022-C-000537,CERTIFIED,05/18/2023
2022-C-000538,CERTIFIED,05/18/2023
2022-C-000539,CERTIFIED,05/18/2023
2022-C-000540,CERTIFIED,05/18/2023
2022-C-000541,CERTIFIED,05/18/2023
2022-C-000542,CERTIFIED,05/18/2023
2022-C-000543,CERTIFIED,05/18/2023
2022-C-000544,CERTIFIED,05/18/2023
2022-C-000545,CERTIFIED,05/18/2023
2022-C-000546,CERTIFIED,05/18/2023
2022-C-000547,CERTIFIED,05/18/2023
2022-C-000548,CERTIFIED,05/18/2023
2022-C-000549,CERTIFIED,05/18/2023
2022-C-000551,CERTIFIED,05/18/2023
